kind,name,definition
canon,account,"broker-maintained set of cash, positions, and orders for one owner"
canon,account event,broker report of a change to an account
canon,alpaca,brokerage and market-data service
canon,average directional index,wilder average of directional price movement strength
canon,average entry price,quantity-weighted mean fill price of an open position
canon,average true range,wilder average of bar range and gap magnitude
canon,backtest,strategy run against historical observations and simulated executions
canon,bar,observations for one instrument aggregated over one closed interval
canon,breakout,event in which an eligible price first crosses a stated boundary
canon,break-even point,value at which gains equal costs
canon,broker,service that sends orders to a market and maintains accounts
canon,brokerage,interface that accepts orders and cancellation requests and supplies account events
canon,cancel,prevent an order's unfilled quantity from executing
canon,cancellation,event in which a broker prevents an order's remaining quantity from executing
canon,cancellation request,instruction to cancel an order
canon,cat fee,regulatory fee that funds the consolidated audit trail
canon,commission,broker fee charged for a transaction
canon,decide,select an intended direction and quantity
canon,decision price,observed price when a strategy decides
canon,direction,"position sign classified as long, flat, or short"
canon,directional accuracy,proportion of forecasts with the correct direction
canon,eastern time,time observed in the america/new_york zone
canon,entry,order or fill that changes a flat position to open
canon,estimand,quantity that a statistical analysis estimates
canon,execute,change a position according to an order
canon,execution cost,decision-price profit and loss minus fill-price profit and loss
canon,exit,order or fill that reduces an open position
canon,explicit fee,stated commission or regulatory charge
canon,fill,event in which a broker executes order quantity at a price and instant
canon,fill price,price at which a broker executes order quantity
canon,finra trading activity fee,regulatory fee on covered securities sales
canon,flatten,submit orders intended to set a position to zero
canon,instrument,tradable contract identified by a market symbol
canon,live trading,broker mode in which execution changes a live account
canon,lumibot,trading strategy execution framework
canon,mark price,current price used to value an open position
canon,market,venue that publishes prices and executes orders
canon,market data,interface that supplies market observations
canon,market impact,price change caused by an order
canon,momentum,tendency for recent price movement to continue
canon,nyse,market identifier for the new york stock exchange
canon,observation,market or account state received by a strategy
canon,observe,receive market or account state without changing it
canon,opening range,low-to-high price interval over a stated initial session period
canon,oracle,benchmark that decides with future observations
canon,order,instruction to change a position under stated conditions
canon,order side,instruction to buy or sell
canon,paper trading,broker mode in which execution changes only a simulated account
canon,portfolio value,total market value of account assets
canon,position,net signed quantity of one instrument held in an account
canon,post-selection inference,inference that accounts for data-driven selection
canon,price,money per instrument unit at a stated source and instant
canon,profit and loss,money gained or lost on a position over a stated interval
canon,protective stop,order intended to limit loss on an open position
canon,quantity,count of instrument units
canon,reconciliation,comparison of broker account state with persisted trading state
canon,regulatory fee,transaction charge required by a regulator
canon,rejection,event in which a broker refuses an order
canon,relative strength index,wilder ratio of average gains to average losses on closing prices
canon,risk limit,bound that restricts an order or position
canon,rolling window,fixed-length consecutive sample advanced through ordered observations
canon,round trip,trace from a flat position through an entry and complete exit to flat
canon,section 31 fee,regulatory fee on covered securities sales
canon,simple moving average,arithmetic mean of closing prices over a fixed bar count
canon,sip feed,securities information processor market-data feed
canon,spread,difference between the best available buy and sell prices
canon,spy,market symbol for the spdr s&p 500 etf trust
canon,stationary bootstrap,resampling method that preserves local dependence
canon,strategy,behavior that maps observations and state to orders
canon,submit,send an order to the broker
canon,swing low,low price below stated preceding and following low prices
canon,trading session,market-defined interval in which orders may execute
canon,trailing protective stop,protective stop that follows favorable price movement
canon,transaction cost,explicit and implicit cost of executing a trade
canon,upper confidence bound,upper endpoint of a one-sided confidence interval
local,money tree,risk-limited trading system
